season,city,date,team1,team2,winner,win_by_runs,win_by_wickets,player_of_match,venue
2013,Pune,19-05-2013,Pune Warriors,Delhi Daredevils,Pune Warriors,38,0,LJ Wright,Subrata Roy Sahara Stadium
2013,Bangalore,18-05-2013,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,24,0,V Kohli,M Chinnaswamy Stadium
2013,Dharamsala,18-05-2013,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium
2013,Hyderabad,17-05-2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal"
2013,Dharamsala,16-05-2013,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium
2013,Ranchi,15-05-2013,Kolkata Knight Riders,Pune Warriors,Pune Warriors,7,0,MK Pandey,JSCA International Stadium Complex
2013,Mumbai,15-05-2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians,14,0,AP Tare,Wankhede Stadium
2013,Chennai,14-05-2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,33,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk"
2013,Bangalore,14-05-2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,0,7,AC Gilchrist,M Chinnaswamy Stadium
2013,Mumbai,13-05-2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,0,7,KA Pollard,Wankhede Stadium
2013,Jaipur,12-05-2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0,5,SR Watson,Sawai Mansingh Stadium
2013,Ranchi,12-05-2013,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,0,5,JH Kallis,JSCA International Stadium Complex
2013,Pune,11-05-2013,Pune Warriors,Mumbai Indians,Mumbai Indians,0,5,MG Johnson,Subrata Roy Sahara Stadium
2013,Chandigarh,11-05-2013,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali"
